date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:26	25637/25637	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/license.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/license.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:27	29169/29169	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/file-structure.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/file-structure.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:27	27131/27131	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/build-tools.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/build-tools.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:27	36232/36232	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/alerts.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/alerts.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:28	32715/32715	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/badge.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/badge.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:28	29555/29555	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/breadcrumb.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/breadcrumb.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:29	65347/65347	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/buttons.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/buttons.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:29	108863/108863	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/card.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/card.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:30	32652/32652	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/carousel.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/carousel.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
20:59:30	40960/40960	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2015:08:49%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.1/components/collapse.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/WEBS/Wait/demos.creative-tim.com/material-kit-pro/docs/2.1/components/collapse.html	(from https://demos.creative-tim.com/material-kit-pro/docs/2.1/getting-started/introduction.html)
